epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3494,1.75574,3.57264,1.44365,0.5635,0.13279,0.097,0.05201,1.57112,2.58076,1.27544,0.00013308,0.00013308,0.00013308
2,123.659,1.72076,2.60616,1.43712,0.59789,0.15641,0.13072,0.07157,1.55022,2.20372,1.27437,0.000263776,0.000263776,0.000263776
3,194.398,1.67742,2.38768,1.41265,0.57756,0.16183,0.15588,0.08865,1.48586,2.06611,1.22907,0.000391832,0.000391832,0.000391832
4,261.376,1.65402,2.25548,1.39128,0.55586,0.19141,0.1747,0.10061,1.49403,1.92547,1.23285,0.00038812,0.00038812,0.00038812
5,324.755,1.63142,2.16958,1.38097,0.54727,0.2,0.18137,0.10458,1.47451,1.86105,1.22513,0.00038416,0.00038416,0.00038416
6,389.313,1.6141,2.06247,1.36505,0.55026,0.22668,0.20495,0.11918,1.46766,1.74324,1.22455,0.0003802,0.0003802,0.0003802
7,452.755,1.5939,2.00476,1.34901,0.55763,0.22563,0.21007,0.12209,1.46012,1.76881,1.22261,0.00037624,0.00037624,0.00037624
8,515.425,1.58907,1.94984,1.34415,0.58729,0.21778,0.21745,0.12407,1.44711,1.71846,1.21469,0.00037228,0.00037228,0.00037228
9,587.822,1.56692,1.90322,1.33121,0.60812,0.22684,0.23319,0.13823,1.44653,1.61521,1.20161,0.00036832,0.00036832,0.00036832
10,657.175,1.56233,1.85841,1.32222,0.61903,0.25069,0.23697,0.13885,1.39441,1.65046,1.18826,0.00036436,0.00036436,0.00036436
11,729.012,1.54776,1.82809,1.31811,0.60832,0.23136,0.23901,0.14202,1.44629,1.57341,1.1927,0.0003604,0.0003604,0.0003604
12,798.224,1.53972,1.79547,1.31312,0.60352,0.2468,0.24155,0.14408,1.42918,1.56081,1.1917,0.00035644,0.00035644,0.00035644
13,865.149,1.52013,1.74842,1.29865,0.5994,0.26726,0.28221,0.17411,1.41102,1.52972,1.19033,0.00035248,0.00035248,0.00035248
14,927.026,1.51817,1.73868,1.2959,0.6191,0.25056,0.26958,0.15966,1.40632,1.51217,1.1911,0.00034852,0.00034852,0.00034852
15,994.473,1.5211,1.70356,1.2963,0.64217,0.25019,0.27369,0.16389,1.41256,1.47297,1.18545,0.00034456,0.00034456,0.00034456
16,1065.04,1.49262,1.66401,1.28106,0.61704,0.26726,0.28968,0.17322,1.391,1.46079,1.17499,0.0003406,0.0003406,0.0003406
17,1133.88,1.50032,1.6653,1.28684,0.53788,0.30766,0.2885,0.17577,1.42261,1.45792,1.19455,0.00033664,0.00033664,0.00033664
18,1196.45,1.48425,1.63443,1.27689,0.59161,0.27306,0.27421,0.16501,1.41255,1.43654,1.18567,0.00033268,0.00033268,0.00033268
19,1259.15,1.48153,1.62889,1.27027,0.49627,0.28533,0.29387,0.179,1.40507,1.41514,1.1831,0.00032872,0.00032872,0.00032872
20,1337.96,1.47391,1.58869,1.2631,0.62634,0.28741,0.30934,0.18653,1.38682,1.3996,1.17151,0.00032476,0.00032476,0.00032476
21,1417.48,1.47899,1.5917,1.27133,0.60414,0.31016,0.30359,0.18512,1.37502,1.39949,1.16649,0.0003208,0.0003208,0.0003208
22,1485.24,1.47838,1.57676,1.26264,0.54185,0.33949,0.32923,0.20268,1.39003,1.39868,1.17307,0.00031684,0.00031684,0.00031684
